"","x"
"1","0000141ti=360072cl=0db=184"
"2","0000035ti=92581cl=1db=184"
"3","0000090ti=351514cl=4db=184"
"4","0000162ti=71526cl=1db=184"
"5","0000241ti=4797cl=2db=184"
"6","0000042ti=70899cl=7db=184"
"7","0000105ti=70899cl=10db=184"
"8","0000032ti=162262cl=7db=184"
"9","0000112ti=50630cl=2db=184"
"10","0000080ti=7402cl=0db=184"
"11","0000049ti=186774cl=4db=184"
"12","0000085ti=64388cl=1db=184"
"13","0000027ti=6964cl=7db=184"
"14","0000110ti=287187cl=35db=184"
"15","0000209ti=27532cl=9db=184"
"16","0000068ti=239225cl=3db=184"
"17","0000174ti=243881cl=2db=184"
"18","0000066ti=92558cl=12db=184"
"19","0000219ti=50622cl=2db=184"
"20","0000197ti=9526cl=47db=184"
