Dataset,Study
0000025ti=102804cl=16db=184,present
0000025ti=104430cl=116db=184,present
0000025ti=113508cl=3db=184,present
0000025ti=122754cl=1db=184,present
0000025ti=123516cl=6db=184,present
0000025ti=127248cl=2db=184,present
0000025ti=127268cl=5db=184,present
0000025ti=127268cl=6db=184,present
0000025ti=133550cl=3db=184,present
0000025ti=13509cl=1db=184,present
0000025ti=13538cl=10db=184,present
0000025ti=13538cl=9db=184,present
0000025ti=135860cl=6db=184,present
0000025ti=13802cl=3db=184,present
0000025ti=145552cl=0db=184,present
0000025ti=145667cl=0db=184,present
0000025ti=147368cl=3db=184,present
0000025ti=147376cl=49db=184,present
0000025ti=147389cl=134db=184,present
0000025ti=147429cl=437db=184,present
0000025ti=154575cl=3db=184,present
0000025ti=157822cl=29db=184,present
0000025ti=158345cl=16db=184,present
0000025ti=158366cl=16db=184,present
0000025ti=165821cl=0db=184,present
0000025ti=169642cl=2db=184,present
0000025ti=169660cl=1db=184,present
0000025ti=169752cl=4db=184,present
0000025ti=169752cl=5db=184,present
0000025ti=177828cl=6db=184,present
0000025ti=186992cl=7db=184,present
0000025ti=189476cl=0db=184,present
0000025ti=213899cl=28db=184,present
0000025ti=213900cl=6db=184,present
0000025ti=217519cl=8db=184,present
0000025ti=221903cl=0db=184,present
0000025ti=235631cl=25db=184,present
0000025ti=235883cl=17db=184,present
0000025ti=253707cl=0db=184,present
0000025ti=267152cl=3db=184,present
0000025ti=27395cl=0db=184,present
0000025ti=273983cl=0db=184,present
0000025ti=286478cl=0db=184,present
0000025ti=286478cl=1db=184,present
0000025ti=28683cl=2db=184,present
0000025ti=29617cl=0db=184,present
0000025ti=29617cl=2db=184,present
0000025ti=29979cl=211db=184,present
0000025ti=302487cl=0db=184,present
0000025ti=302488cl=0db=184,present
0000025ti=30725cl=3db=184,present
0000025ti=30725cl=4db=184,present
0000025ti=30725cl=5db=184,present
0000025ti=314294cl=27db=184,present
0000025ti=31430cl=0db=184,present
0000025ti=32138cl=5db=184,present
0000025ti=3243cl=22db=184,present
0000025ti=328320cl=11db=184,present
0000025ti=3296cl=10db=184,present
0000025ti=3296cl=9db=184,present
0000025ti=3297cl=10db=184,present
0000025ti=3297cl=9db=184,present
0000025ti=33217cl=11db=184,present
0000025ti=33341cl=863db=184,present
0000025ti=344718cl=10db=184,present
0000025ti=3493cl=5db=184,present
0000025ti=35069cl=3db=184,present
0000025ti=35070cl=3db=184,present
0000025ti=351509cl=6db=184,present
0000025ti=38413cl=4db=184,present
0000025ti=3898cl=12db=184,present
0000025ti=3977cl=26db=184,present
0000025ti=3982cl=17db=184,present
0000025ti=400782cl=12db=184,present
0000025ti=402723cl=2db=184,present
0000025ti=40411cl=0db=184,present
0000025ti=404256cl=3db=184,present
0000025ti=40552cl=82db=184,present
0000025ti=405638cl=0db=184,present
0000025ti=41071cl=28db=184,present
0000025ti=41937cl=254db=184,present
0000025ti=41946cl=1db=184,present
0000025ti=42088cl=0db=184,present
0000025ti=42219cl=9db=184,present
0000025ti=43272cl=1db=184,present
0000025ti=43753cl=1db=184,present
0000025ti=4512cl=28db=184,present
0000025ti=4512cl=29db=184,present
0000025ti=45375cl=12db=184,present
0000025ti=461989cl=3db=184,present
0000025ti=49669cl=5db=184,present
0000025ti=49669cl=6db=184,present
0000025ti=50623cl=8db=184,present
0000025ti=50633cl=5db=184,present
0000025ti=5251cl=7db=184,present
0000025ti=52989cl=12db=184,present
0000025ti=5314cl=2db=184,present
0000025ti=53171cl=2db=184,present
0000025ti=55746cl=59db=184,present
0000025ti=58020cl=10db=184,present
0000025ti=58020cl=9db=184,present
0000025ti=6231cl=11db=184,present
0000025ti=64937cl=12db=184,present
0000025ti=65189cl=0db=184,present
0000025ti=6692cl=713db=184,present
0000025ti=6752cl=6db=184,present
0000025ti=68804cl=1db=184,present
0000025ti=6974cl=1db=184,present
0000025ti=699706cl=2db=184,present
0000025ti=703530cl=80db=184,present
0000025ti=703530cl=81db=184,present
0000025ti=703530cl=82db=184,present
0000025ti=70899cl=13db=184,present
0000025ti=71596cl=5db=184,present
0000025ti=72714cl=4db=184,present
0000025ti=72876cl=0db=184,present
0000025ti=7401cl=53db=184,present
0000025ti=7402cl=53db=184,present
0000025ti=7456cl=2db=184,present
0000025ti=75981cl=10db=184,present
0000025ti=76984cl=2db=184,present
0000025ti=82616cl=3db=184,present
0000025ti=8383cl=10db=184,present
0000025ti=8459cl=4db=184,present
0000025ti=8460cl=5db=184,present
0000025ti=84613cl=0db=184,present
0000025ti=85771cl=4db=184,present
0000025ti=86619cl=2db=184,present
0000025ti=8906cl=181db=184,present
0000025ti=89443cl=18db=184,present
0000025ti=91561cl=705db=184,present
0000025ti=9206cl=1db=184,present
0000025ti=9207cl=1db=184,present
0000025ti=92557cl=11db=184,present
0000025ti=9307cl=10db=184,present
0000025ti=9307cl=11db=184,present
0000025ti=94015cl=10db=184,present
0000025ti=9443cl=103db=184,present
0000025ti=9443cl=1172db=184,present
0000025ti=9526cl=21db=184,present
0000025ti=9527cl=27db=184,present
0000025ti=9722cl=42db=184,present
0000025ti=9726cl=40db=184,present
0000025ti=9979cl=11db=184,present
0000026ti=100303cl=3db=184,present
0000026ti=100750cl=0db=184,present
0000026ti=10161cl=1db=184,present
0000026ti=102814cl=52db=184,present
0000026ti=109632cl=3db=184,present
0000026ti=110124cl=0db=184,present
0000026ti=115312cl=8db=184,present
0000026ti=116139cl=23db=184,present
0000026ti=117677cl=11db=184,present
0000026ti=126331cl=2db=184,present
0000026ti=127268cl=2db=184,present
0000026ti=145349cl=10db=184,present
0000026ti=153010cl=8db=184,present
0000026ti=153011cl=8db=184,present
0000026ti=153012cl=8db=184,present
0000026ti=167490cl=1db=184,present
0000026ti=169226cl=2db=184,present
0000026ti=169640cl=7db=184,present
0000026ti=169705cl=0db=184,present
0000026ti=169752cl=10db=184,present
0000026ti=169752cl=6db=184,present
0000026ti=169752cl=7db=184,present
0000026ti=180245cl=28db=184,present
0000026ti=185468cl=0db=184,present
0000026ti=185810cl=3db=184,present
0000026ti=185810cl=4db=184,present
0000026ti=192514cl=5db=184,present
0000026ti=203786cl=0db=184,present
0000026ti=209013cl=3db=184,present
0000026ti=211564cl=20db=184,present
0000026ti=214599cl=5db=184,present
0000026ti=215788cl=0db=184,present
0000026ti=216303cl=47db=184,present
0000026ti=216808cl=3db=184,present
0000026ti=217035cl=74db=184,present
0000026ti=229259cl=4db=184,present
0000026ti=229259cl=5db=184,present
0000026ti=231866cl=0db=184,present
0000026ti=238074cl=0db=184,present
0000026ti=241777cl=1db=184,present
0000026ti=241789cl=18db=184,present
0000026ti=243885cl=0db=184,present
0000026ti=256835cl=5db=184,present
0000026ti=268836cl=0db=184,present
0000026ti=272242cl=28db=184,present
