"","x"
"1","9831"
"2","OAT-nucl"
"3","ensGene.ENST00000398950.1.inc"
"4","knownGene.uc010men.2.1.inc"
"5","morf_449387_11codonalign.trim_interval.ctx"
"6","morf_453263_11codonalign.trim_interval.ctx"
"7","morf_453642_11codonalign.trim_interval.ctx"
"8","morf_454185_11codonalign.trim_interval.ctx"
"9","my_ENSGALG00000014991.macse_DNA_gb"
"10","refGene.NM_019106.1"
"11","Acalles"
"12","Idaea"
"13","Lacinipolia"
"14","Lithobius"
"15","Littorina"
"16","Anadasmus"
"17","Nesophrosyne"
"18","Antiblemma"
"19","Oecetis"
"20","Operophtera"
"21","Ophiothrix"
"22","Pachycondyla"
"23","Pero"
"24","Apogon"
"25","Pinus"
"26","Platypalpus"
"27","Procladius"
"28","Pterostichus"
"29","Argyrotaenia"
"30","Schausiella"
"31","Squalus"
"32","Syssphinx"
"33","Talides"
"34","Tanytarsus"
"35","Tetraclita"
"36","Thysanoessa"
"37","Toxomerus"
"38","Trifurcula"
"39","Turbo"
"40","Barea"
"41","Belvosia"
"42","Cinara"
"43","Coleophora"
"44","Aedes"
"45","Desmia"
"46","Disphragis"
"47","Dysstroma"
"48","Eupithecia"
"49","Euxoa"
"50","Helina"
"51","Hemiceras"
"52","Birds_COX1"
"53","Mammals_CYTB"
"54","Mammals_ND3_mb325"
"55","0000210ti=62155cl=0db=184"
"56","0000210ti=75055cl=2db=184"
"57","0000211ti=5789cl=0db=184"
"58","0000213ti=71527cl=1db=184"
"59","0000213ti=9895cl=11db=184"
"60","0000214ti=9005cl=13db=184"
"61","0000215ti=62941cl=1db=184"
"62","0000217ti=134564cl=1db=184"
"63","0000217ti=183385cl=2db=184"
"64","0000217ti=92908cl=3db=184"
"65","0000219ti=29979cl=0db=184"
"66","0000219ti=50622cl=2db=184"
"67","0000221ti=274705cl=10db=184"
"68","0000222ti=157824cl=4db=184"
"69","0000222ti=30080cl=1db=184"
"70","0000223ti=3699cl=637db=184"
"71","0000223ti=41073cl=0db=184"
"72","0000224ti=5819cl=3db=184"
"73","0000224ti=70894cl=0db=184"
"74","0000225ti=33368cl=11db=184"
"75","0000225ti=73401cl=6db=184"
"76","0000226ti=23159cl=5db=184"
"77","0000226ti=31314cl=0db=184"
"78","0000227ti=92558cl=7db=184"
"79","0000228ti=274692cl=3db=184"
"80","0000228ti=4893cl=33db=184"
"81","0000229ti=8247cl=4db=184"
"82","0000231ti=451870cl=4db=184"
"83","0000232ti=33630cl=1441db=184"
"84","0000232ti=721812cl=25db=184"
"85","0000232ti=721813cl=27db=184"
"86","0000233ti=410274cl=17db=184"
"87","0000234ti=122754cl=2db=184"
"88","0000234ti=23159cl=4db=184"
"89","0000234ti=5351cl=94db=184"
"90","0000234ti=6930cl=1db=184"
"91","0000235ti=56139cl=1db=184"
"92","0000236ti=150372cl=2db=184"
"93","0000236ti=46879cl=10db=184"
"94","0000236ti=9721cl=1db=184"
"95","0000237ti=61985cl=4db=184"
"96","0000239ti=147368cl=727db=184"
"97","0000239ti=147389cl=16db=184"
"98","0000240ti=34380cl=5db=184"
"99","0000240ti=41827cl=39db=184"
"100","0000240ti=43786cl=39db=184"
"101","0000240ti=52176cl=0db=184"
"102","0000240ti=63715cl=7db=184"
"103","0000240ti=7157cl=39db=184"
"104","0000241ti=4797cl=2db=184"
"105","0000242ti=121069cl=2db=184"
"106","0000242ti=4782cl=2db=184"
"107","0000243ti=147389cl=15db=184"
"108","0000245ti=551290cl=3db=184"
"109","0000247ti=175121cl=209db=184"
"110","0000247ti=215449cl=1db=184"
"111","0000247ti=6605cl=1db=184"
"112","0000247ti=6606cl=1db=184"
"113","0000248ti=272201cl=122db=184"
"114","0000248ti=58198cl=3db=184"
"115","0000248ti=7422cl=122db=184"
"116","0000248ti=7489cl=0db=184"
"117","0000248ti=7490cl=0db=184"
"118","0000249ti=147389cl=13db=184"
"119","0000249ti=4747cl=18db=184"
"120","0000031ti=166307cl=0db=184"
"121","0000031ti=379584cl=5db=184"
"122","0000031ti=619357cl=2db=184"
"123","0000032ti=162262cl=7db=184"
"124","0000032ti=166306cl=0db=184"
"125","0000035ti=140695cl=3db=184"
"126","0000035ti=92581cl=1db=184"
"127","0000036ti=243882cl=2db=184"
"128","0000037ti=76913cl=1db=184"
"129","0000038ti=216209cl=4db=184"
"130","0000039ti=31314cl=7db=184"
"131","0000042ti=31024cl=12db=184"
"132","0000042ti=43162cl=2db=184"
"133","0000042ti=70899cl=7db=184"
"134","0000043ti=83881cl=0db=184"
"135","0000046ti=479885cl=1db=184"
"136","0000027ti=243882cl=3db=184"
"137","0000027ti=267152cl=7db=184"
"138","0000048ti=131210cl=7db=184"
"139","0000049ti=186774cl=4db=184"
"140","0000049ti=78060cl=4db=184"
"141","0000050ti=475176cl=5db=184"
"142","0000025ti=186992cl=7db=184"
"143","0000052ti=2807cl=2db=184"
"144","0000052ti=28728cl=10db=184"
"145","0000027ti=50673cl=7db=184"
"146","0000055ti=177955cl=6db=184"
"147","0000056ti=27420cl=6db=184"
"148","0000027ti=6779cl=5db=184"
"149","0000056ti=78523cl=0db=184"
"150","0000027ti=6964cl=7db=184"
"151","0000058ti=171576cl=7db=184"
"152","0000058ti=195876cl=2db=184"
"153","0000059ti=6475cl=13db=184"
"154","0000060ti=107942cl=11db=184"
"155","0000060ti=239225cl=6db=184"
"156","0000062ti=248746cl=3db=184"
"157","0000063ti=43750cl=2db=184"
"158","0000064ti=337963cl=18db=184"
"159","0000064ti=43756cl=2db=184"
"160","0000066ti=92558cl=12db=184"
"161","0000067ti=50673cl=13db=184"
"162","0000068ti=239225cl=3db=184"
"163","0000028ti=34725cl=2db=184"
"164","0000070ti=6964cl=2db=184"
"165","0000071ti=38127cl=6db=184"
"166","0000071ti=81084cl=9db=184"
"167","0000072ti=137503cl=5db=184"
"168","0000072ti=9443cl=1063db=184"
"169","0000073ti=135860cl=1db=184"
"170","0000074ti=243881cl=3db=184"
"171","0000075ti=167483cl=11db=184"
"172","0000076ti=30259cl=6db=184"
"173","0000076ti=88646cl=4db=184"
"174","0000077ti=7505cl=0db=184"
"175","0000078ti=146291cl=0db=184"
"176","0000078ti=146292cl=0db=184"
"177","0000078ti=75967cl=7db=184"
"178","0000079ti=107465cl=4db=184"
"179","0000080ti=107942cl=16db=184"
"180","0000080ti=7402cl=0db=184"
"181","0000082ti=56488cl=1db=184"
"182","0000082ti=76176cl=1db=184"
"183","0000084ti=3043cl=2db=184"
"184","0000085ti=5129cl=0db=184"
"185","0000085ti=64388cl=1db=184"
"186","0000086ti=41085cl=3db=184"
"187","0000086ti=7520cl=7db=184"
"188","0000089ti=112252cl=6db=184"
"189","0000090ti=351514cl=4db=184"
"190","0000093ti=113509cl=9db=184"
"191","0000093ti=53313cl=2db=184"
"192","0000098ti=43754cl=88db=184"
"193","0000098ti=9136cl=15db=184"
"194","0000102ti=158424cl=22db=184"
"195","0000102ti=30863cl=4db=184"
"196","0000102ti=388283cl=4db=184"
"197","0000103ti=167180cl=2db=184"
"198","0000104ti=183718cl=6db=184"
"199","0000104ti=388450cl=2db=184"
