"","x"
"1","0000043ti=83881cl=0db=184"
"2","0000048ti=131210cl=7db=184"
"3","0000052ti=2807cl=2db=184"
"4","0000078ti=146291cl=0db=184"
"5","0000078ti=146292cl=0db=184"
"6","0000079ti=107465cl=4db=184"
"7","0000086ti=41085cl=3db=184"
"8","0000098ti=9136cl=15db=184"
"9","0000102ti=388283cl=4db=184"
"10","0000105ti=159511cl=30db=184"
"11","0000107ti=10207cl=3db=184"
"12","0000108ti=452284cl=8db=184"
"13","0000114ti=75543cl=0db=184"
"14","0000116ti=3313cl=63db=184"
"15","0000119ti=154050cl=6db=184"
"16","0000133ti=3195cl=9db=184"
"17","0000140ti=33368cl=12db=184"
"18","0000146ti=216810cl=5db=184"
"19","0000147ti=3071cl=1db=184"
"20","0000160ti=169697cl=6db=184"
"21","0000160ti=2864cl=81db=184"
"22","0000162ti=71526cl=1db=184"
"23","0000167ti=6962cl=1db=184"
"24","0000168ti=43742cl=95db=184"
"25","0000174ti=243881cl=2db=184"
"26","0000175ti=314293cl=69db=184"
"27","0000175ti=376913cl=68db=184"
"28","0000176ti=14101cl=8db=184"
"29","0000176ti=50622cl=3db=184"
"30","0000176ti=75981cl=4db=184"
"31","0000180ti=43750cl=6db=184"
"32","0000183ti=185812cl=3db=184"
"33","0000184ti=4891cl=223db=184"
"34","0000185ti=41133cl=3db=184"
"35","0000185ti=63717cl=3db=184"
"36","0000186ti=34397cl=0db=184"
"37","0000187ti=50671cl=12db=184"
"38","0000190ti=150173cl=0db=184"
"39","0000194ti=50672cl=1db=184"
"40","0000194ti=70987cl=2db=184"
"41","0000195ti=7215cl=1db=184"
"42","0000196ti=36459cl=11db=184"
"43","0000197ti=30073cl=0db=184"
"44","0000197ti=9443cl=1318db=184"
"45","0000197ti=9526cl=47db=184"
"46","0000201ti=64588cl=7db=184"
"47","0000206ti=216294cl=2db=184"
"48","0000208ti=50935cl=2db=184"
"49","0000211ti=5789cl=0db=184"
"50","0000214ti=9005cl=13db=184"
"51","0000219ti=29979cl=0db=184"
"52","0000219ti=50622cl=2db=184"
"53","0000221ti=274705cl=10db=184"
"54","0000223ti=3699cl=637db=184"
"55","0000225ti=33368cl=11db=184"
"56","0000226ti=31314cl=0db=184"
"57","0000228ti=274692cl=3db=184"
"58","0000231ti=451870cl=4db=184"
"59","0000234ti=23159cl=4db=184"
"60","0000234ti=5351cl=94db=184"
"61","0000235ti=56139cl=1db=184"
"62","0000236ti=150372cl=2db=184"
"63","0000236ti=9721cl=1db=184"
"64","0000239ti=147368cl=727db=184"
"65","0000239ti=147389cl=16db=184"
"66","0000240ti=63715cl=7db=184"
"67","0000247ti=175121cl=209db=184"
"68","0000248ti=58198cl=3db=184"
"69","0000249ti=4747cl=18db=184"
