"","x"
"1","10535"
"2","10738"
"3","10924"
"4","11049"
"5","11890"
"6","11902"
"7","12405"
"8","12706"
"9","12725"
"10","12791"
"11","12891"
"12","13189"
"13","13476"
"14","13559"
"15","13870"
"16","14195"
"17","15648"
"18","15802"
"19","1703"
"20","17150"
"21","17475"
"22","17495"
"23","17612"
"24","17844"
"25","2608"
"26","2854"
"27","3039"
"28","3626"
"29","3709"
"30","4201"
"31","4334"
"32","4714"
"33","4787"
"34","6320"
"35","6362"
"36","6813"
"37","7665"
"38","7839"
"39","7842"
"40","8304"
"41","8519"
"42","9002"
"43","9124"
"44","9765"
"45","Acanthemblemaria"
"46","Acanthurus"
"47","Aporrectodea"
"48","Aricia"
"49","Atteva"
"50","Auratonota"
"51","Austrosimulium"
"52","Autographa"
"53","Ceratitis"
"54","Coleophora"
"55","Corgatha"
"56","Cryptopygus"
"57","Cyclophora"
"58","Dioryctria"
"59","Echinococcus"
"60","Echinolittorina"
"61","ensGene.ENST00000280653.1.inc"
"62","ensGene.ENST00000330736.1.inc"
"63","ensGene.ENST00000381461.1.inc"
"64","Eumorpha"
"65","Eumunida"
"66","Everettia"
"67","Eviota"
"68","Hylaeus"
"69","Imma"
"70","knownGene.uc001bzk.2.1"
"71","knownGene.uc001gxo.1.1.inc"
"72","knownGene.uc002wsa.1.1.inc"
"73","knownGene.uc003cbi.2.1"
"74","knownGene.uc003ywb.2.1"
"75","knownGene.uc003zqe.2.1.inc"
"76","knownGene.uc010xrn.1.1.inc"
"77","knownGene.uc011lik.1.1.inc"
"78","Leptomyrmex"
"79","Limanda"
"80","Lixophaga"
"81","Loweria"
"82","Malacoctenus"
"83","Mammals_ND4L"
"84","Melanargia"
"85","morf_448648_11codonalign.trim_interval.ctx"
"86","Nassarius"
"87","Natalina"
"88","Neodiphthera"
"89","Neokolla"
"90","Nesophrosyne"
"91","Ochlerotatus"
"92","Ophryotrocha"
"93","Oxydia"
"94","Polia"
"95","Pollanisus"
"96","Polycentropus"
"97","Polygonia"
"98","Pomacea"
"99","Pyramica"
"100","Raja"
"101","refGene.NM_000217.1"
"102","refGene.NM_001001977.1"
"103","refGene.NM_001005474.1"
"104","refGene.NM_001142398.1.inc"
"105","refGene.NM_001164271.1"
"106","refGene.NM_003654.1"
"107","refGene.NM_006577.1"
"108","refGene.NM_007022.1"
"109","refGene.NM_015946.1.inc"
"110","refGene.NM_016932.1"
"111","refGene.NM_024016.1.inc"
"112","refGene.NM_153377.1.inc"
"113","refGene.NM_207391.1"
"114","Renia"
"115","Scirtothrips"
"116","Smicridea"
"117","Spargania"
"118","Sphyrna"
"119","Squamates_ATP8"
"120","Stenopelmatus"
"121","Strychnos"
"122","Tetragnatha"
"123","Theodoxus"
"124","Tonicella"
"125","Trematomus"
"126","Trichiurus"
"127","0000025ti=145552cl=0db=184"
"128","0000025ti=186992cl=7db=184"
"129","0000025ti=344718cl=10db=184"
"130","0000025ti=5251cl=7db=184"
"131","0000025ti=64937cl=12db=184"
"132","0000025ti=9526cl=21db=184"
"133","0000026ti=100750cl=0db=184"
"134","0000026ti=169705cl=0db=184"
"135","0000026ti=211564cl=20db=184"
"136","0000026ti=28641cl=6db=184"
"137","0000026ti=33183cl=36db=184"
"138","0000026ti=405757cl=3db=184"
"139","0000026ti=43845cl=34db=184"
"140","0000026ti=6226cl=4db=184"
"141","0000026ti=6227cl=4db=184"
"142","0000026ti=80764cl=11db=184"
"143","0000026ti=8383cl=11db=184"
"144","0000027ti=166307cl=6db=184"
"145","0000027ti=191982cl=6db=184"
"146","0000027ti=217059cl=13db=184"
"147","0000027ti=219820cl=6db=184"
"148","0000027ti=28376cl=3db=184"
"149","0000027ti=30560cl=2db=184"
"150","0000027ti=33366cl=0db=184"
"151","0000027ti=375013cl=8db=184"
"152","0000027ti=376911cl=54db=184"
"153","0000027ti=6225cl=4db=184"
"154","0000027ti=91561cl=29db=184"
"155","0000027ti=9443cl=54db=184"
"156","0000027ti=9443cl=56db=184"
"157","0000027ti=9479cl=99db=184"
"158","0000028ti=35490cl=3db=184"
"159","0000028ti=402723cl=4db=184"
"160","0000028ti=44177cl=3db=184"
"161","0000028ti=4557cl=1db=184"
"162","0000028ti=84661cl=0db=184"
"163","0000028ti=9526cl=27db=184"
"164","0000029ti=127268cl=3db=184"
"165","0000029ti=192514cl=1db=184"
"166","0000029ti=24646cl=16db=184"
"167","0000029ti=31012cl=1db=184"
"168","0000029ti=32518cl=4db=184"
"169","0000029ti=338152cl=33db=184"
"170","0000029ti=338152cl=37db=184"
"171","0000029ti=43742cl=89db=184"
"172","0000029ti=469321cl=0db=184"
"173","0000029ti=47520cl=5db=184"
"174","0000029ti=56478cl=1db=184"
"175","0000029ti=58149cl=4db=184"
"176","0000029ti=85807cl=4db=184"
"177","0000030ti=147380cl=47db=184"
"178","0000030ti=150882cl=3db=184"
"179","0000030ti=196920cl=1db=184"
"180","0000030ti=211030cl=0db=184"
"181","0000030ti=28577cl=7db=184"
"182","0000030ti=314293cl=599db=184"
"183","0000030ti=4069cl=103db=184"
"184","0000030ti=4070cl=103db=184"
"185","0000030ti=5148cl=11db=184"
"186","0000030ti=667167cl=4db=184"
"187","0000030ti=76917cl=0db=184"
