"","x"
"1","10738"
"2","12891"
"3","15802"
"4","16190"
"5","3626"
"6","6320"
"7","6362"
"8","8304"
"9","Acanthemblemaria"
"10","Acanthurus"
"11","Amphibians_ND4L"
"12","Aporrectodea"
"13","Aricia"
"14","Centropyge"
"15","Chamaesphecia"
"16","Coleophora"
"17","Corbicula"
"18","Crocs_ND4L_gammadir"
"19","Cyclophora"
"20","db=184ti=10066cl=25"
"21","db=184ti=100750cl=0"
"22","db=184ti=101149cl=13"
"23","db=184ti=10194cl=1"
"24","db=184ti=104425cl=12"
"25","db=184ti=104435cl=5"
"26","db=184ti=105387cl=6"
"27","db=184ti=105389cl=1"
"28","db=184ti=105390cl=1"
"29","db=184ti=105417cl=0"
"30","db=184ti=107755cl=0"
"31","db=184ti=111982cl=0"
"32","db=184ti=112252cl=22"
"33","db=184ti=112286cl=0"
"34","db=184ti=115244cl=3"
"35","db=184ti=115274cl=4"
"36","db=184ti=115574cl=1"
"37","db=184ti=115581cl=24"
"38","db=184ti=115581cl=9"
"39","db=184ti=115909cl=1"
"40","db=184ti=116557cl=84"
"41","db=184ti=116569cl=148"
"42","db=184ti=116570cl=149"
"43","db=184ti=116571cl=7"
"44","db=184ti=116704cl=6"
"45","db=184ti=116706cl=6"
"46","db=184ti=116716cl=6"
"47","db=184ti=117837cl=7"
"48","db=184ti=117896cl=22"
"49","db=184ti=118267cl=127"
"50","db=184ti=119088cl=154"
"51","db=184ti=119089cl=844"
"52","db=184ti=119195cl=0"
"53","db=184ti=119197cl=0"
"54","db=184ti=121069cl=25"
"55","db=184ti=121069cl=3"
"56","db=184ti=124286cl=12"
"57","db=184ti=127010cl=0"
"58","db=184ti=127320cl=48"
"59","db=184ti=127320cl=60"
"60","db=184ti=127400cl=1"
"61","db=184ti=133551cl=31"
"62","db=184ti=134564cl=4"
"63","db=184ti=13499cl=1"
"64","db=184ti=13757cl=5"
"65","db=184ti=13804cl=1"
"66","db=184ti=13814cl=6"
"67","db=184ti=141476cl=1"
"68","db=184ti=143688cl=6"
"69","db=184ti=143709cl=6"
"70","db=184ti=144015cl=10"
"71","db=184ti=144015cl=11"
"72","db=184ti=144015cl=12"
"73","db=184ti=144516cl=5"
"74","db=184ti=147368cl=102"
"75","db=184ti=147369cl=429"
"76","db=184ti=147380cl=21"
"77","db=184ti=147389cl=32"
"78","db=184ti=147389cl=39"
"79","db=184ti=147537cl=25"
"80","db=184ti=147537cl=84"
"81","db=184ti=147545cl=14"
