"","x"
"1","db=184ti=30559cl=79"
"2","db=184ti=31319cl=5"
"3","db=184ti=314293cl=152"
"4","db=184ti=32341cl=30"
"5","db=184ti=33253cl=42"
"6","db=184ti=33351cl=197"
"7","db=184ti=33357cl=25"
"8","db=184ti=33415cl=21"
"9","db=184ti=33853cl=2"
"10","db=184ti=33854cl=2"
"11","db=184ti=34725cl=2"
"12","db=184ti=35063cl=34"
"13","db=184ti=35500cl=547"
"14","db=184ti=35568cl=212"
"15","db=184ti=356303cl=26"
"16","db=184ti=35635cl=0"
"17","db=184ti=36152cl=2"
"18","db=184ti=36668cl=92"
"19","db=184ti=376913cl=152"
"20","db=184ti=379584cl=6"
"21","db=184ti=38605cl=15"
"22","db=184ti=400781cl=0"
"23","db=184ti=40092cl=4"
"24","db=184ti=40093cl=4"
"25","db=184ti=41085cl=5"
"26","db=184ti=41086cl=91"
"27","db=184ti=41087cl=17"
"28","db=184ti=41093cl=1"
"29","db=184ti=41142cl=11"
"30","db=184ti=41317cl=34"
"31","db=184ti=42290cl=0"
"32","db=184ti=43741cl=10"
"33","db=184ti=43786cl=390"
"34","db=184ti=47526cl=0"
"35","db=184ti=4776cl=39"
"36","db=184ti=4777cl=39"
"37","db=184ti=479885cl=4"
"38","db=184ti=490053cl=2"
"39","db=184ti=490370cl=73"
"40","db=184ti=503140cl=0"
"41","db=184ti=5052cl=8"
"42","db=184ti=50619cl=6"
"43","db=184ti=53506cl=1"
"44","db=184ti=55746cl=16"
"45","db=184ti=6407cl=3"
"46","db=184ti=6411cl=0"
"47","db=184ti=6961cl=24"
"48","db=184ti=698026cl=3"
"49","db=184ti=7055cl=91"
"50","db=184ti=70895cl=21"
"51","db=184ti=71195cl=3"
"52","db=184ti=72034cl=3"
"53","db=184ti=7214cl=34"
"54","db=184ti=72537cl=50"
"55","db=184ti=72685cl=2"
"56","db=184ti=73240cl=2"
"57","db=184ti=7381cl=8"
"58","db=184ti=7401cl=53"
"59","db=184ti=7438cl=3"
"60","db=184ti=7516cl=7"
"61","db=184ti=7520cl=7"
"62","db=184ti=75546cl=91"
"63","db=184ti=75547cl=1"
"64","db=184ti=7683cl=1"
"65","db=184ti=76913cl=1"
"66","db=184ti=7720cl=53"
"67","db=184ti=77689cl=0"
"68","db=184ti=7826cl=0"
"69","db=184ti=8169cl=6"
"70","db=184ti=8180cl=2"
"71","db=184ti=8256cl=73"
"72","db=184ti=82886cl=0"
"73","db=184ti=86197cl=18"
"74","db=184ti=87874cl=0"
"75","db=184ti=8929cl=3"
"76","db=184ti=8930cl=3"
"77","db=184ti=9136cl=9"
"78","db=184ti=9183cl=6"
"79","db=184ti=9219cl=0"
"80","db=184ti=9220cl=0"
"81","db=184ti=9223cl=0"
"82","db=184ti=9397cl=34"
"83","db=184ti=9398cl=79"
"84","db=184ti=9528cl=3"
"85","db=184ti=9721cl=24"
"86","db=184ti=9722cl=24"
"87","db=184ti=9845cl=552"
"88","db=184ti=9895cl=18"
"89","db=184ti=10066cl=3"
"90","db=184ti=10207cl=0"
"91","db=184ti=1049656cl=0"
"92","db=184ti=121281cl=5"
"93","db=184ti=122238cl=5"
"94","db=184ti=126287cl=15"
"95","db=184ti=133711cl=4"
"96","db=184ti=139644cl=5"
"97","db=184ti=140695cl=0"
"98","db=184ti=162262cl=7"
"99","db=184ti=164862cl=3"
"100","db=184ti=166052cl=2"
"101","db=184ti=166331cl=9"
"102","db=184ti=169447cl=4"
"103","db=184ti=177823cl=0"
"104","db=184ti=181483cl=3"
"105","db=184ti=190769cl=2"
"106","db=184ti=191982cl=2"
"107","db=184ti=192732cl=15"
"108","db=184ti=216209cl=0"
"109","db=184ti=239225cl=6"
"110","db=184ti=27420cl=14"
"111","db=184ti=2825cl=13"
"112","db=184ti=286472cl=3"
"113","db=184ti=28728cl=10"
"114","db=184ti=288800cl=0"
"115","db=184ti=29026cl=11"
"116","db=184ti=30862cl=8"
"117","db=184ti=34451cl=6"
"118","db=184ti=41360cl=1"
"119","db=184ti=452336cl=1"
"120","db=184ti=586240cl=21"
"121","db=184ti=75365cl=5"
"122","db=184ti=82592cl=10"
"123","db=184ti=82596cl=10"
"124","db=184ti=9223cl=7"
"125","db=184ti=95178cl=57"
"126","db=184ti=9895cl=0"
"127","knownGene.uc010men.2.1.inc"
"128","morf_453263_11codonalign.trim_interval.ctx"
"129","my_ENSGALG00000014991.macse_DNA_gb"
"130","db=184ti=139992cl=3"
"131","db=184ti=28728cl=64"
