"","x"
"1","db=184ti=87869cl=5"
"2","db=184ti=33100cl=0"
"3","morf_449680_11codonalign.trim_interval.ctx"
"4","db=184ti=32456cl=5"
"5","db=184ti=33373cl=248"
"6","db=184ti=54986cl=2"
"7","db=184ti=163090cl=0"
"8","db=184ti=130903cl=1"
"9","db=184ti=42219cl=11"
"10","db=184ti=9895cl=17"
"11","knownGene.uc002kof.2.1"
"12","db=184ti=535382cl=71"
"13","db=184ti=6462cl=1"
"14","db=184ti=6646cl=26"
"15","refGene.NM_001143823.1.inc"
"16","db=184ti=33354cl=225"
"17","db=184ti=83881cl=0"
"18","db=184ti=528041cl=2"
"19","db=184ti=32456cl=134"
"20","refGene.NM_032936.1"
"21","my_ENSGALG00000014447.macse_DNA_gb"
"22","morf_450652_11codonalign.trim_interval.ctx"
"23","db=184ti=551290cl=66"
"24","db=184ti=3086cl=25"
"25","db=184ti=111520cl=4"
"26","db=184ti=469206cl=0"
"27","db=184ti=4005cl=18"
"28","db=184ti=66056cl=48"
"29","db=184ti=335208cl=0"
"30","db=184ti=69555cl=555"
"31","db=184ti=6077cl=5"
"32","db=184ti=50827cl=15"
"33","db=184ti=51280cl=6"
"34","db=184ti=3114cl=8"
"35","db=184ti=31377cl=7"
"36","morf_450370_11codonalign.trim_interval.ctx"
"37","db=184ti=28908cl=5"
"38","db=184ti=86658cl=8"
"39","db=184ti=451828cl=4"
"40","db=184ti=158345cl=16"
"41","db=184ti=108099cl=0"
"42","knownGene.uc003gql.1.1.inc"
"43","db=184ti=10010cl=3"
"44","db=184ti=703547cl=1"
"45","Crocs_ND6_gammadir"
"46","db=184ti=33847cl=25"
"47","db=184ti=68889cl=8"
"48","ensGene.ENST00000445686.1.inc"
"49","db=184ti=222544cl=10"
"50","morf_450312_11codonalign.trim_interval.ctx"
"51","db=184ti=46874cl=0"
"52","db=184ti=119088cl=241"
"53","db=184ti=148328cl=7"
"54","db=184ti=120490cl=274"
"55","db=184ti=113509cl=22"
"56","db=184ti=3400cl=251"
"57","db=184ti=311790cl=29"
"58","db=184ti=116557cl=80"
"59","db=184ti=9263cl=46"
"60","db=184ti=186798cl=16"
"61","db=184ti=33218cl=241"
"62","db=184ti=7199cl=16"
"63","db=184ti=721786cl=30"
"64","db=184ti=105721cl=3"
"65","db=184ti=132116cl=7"
"66","db=184ti=95763cl=2"
"67","db=184ti=119691cl=2"
"68","db=184ti=41074cl=8"
"69","db=184ti=4268cl=36"
"70","db=184ti=27710cl=3"
"71","db=184ti=41712cl=8"
"72","db=184ti=680346cl=8"
"73","db=184ti=3568cl=17"
"74","db=184ti=117893cl=3"
"75","db=184ti=77657cl=5"
"76","db=184ti=374050cl=23"
"77","db=184ti=150881cl=2"
"78","db=184ti=723662cl=8"
"79","db=184ti=4862cl=4"
"80","db=184ti=115312cl=1"
"81","db=184ti=110919cl=0"
"82","db=184ti=158348cl=5"
"83","db=184ti=229259cl=4"
"84","db=184ti=175121cl=99"
"85","db=184ti=8399cl=108"
"86","db=184ti=24646cl=7"
"87","knownGene.uc011awi.1.1.inc"
"88","db=184ti=70004cl=4"
"89","db=184ti=43753cl=0"
"90","db=184ti=34975cl=6"
"91","db=184ti=246456cl=4"
"92","db=184ti=623169cl=2"
"93","db=184ti=374063cl=30"
"94","db=184ti=4747cl=12"
"95","db=184ti=8419cl=4"
"96","morf_452785_11codonalign.trim_interval.ctx"
"97","db=184ti=68882cl=46"
"98","db=184ti=84507cl=3"
"99","db=184ti=41831cl=15"
"100","db=184ti=216297cl=2"
"101","db=184ti=3699cl=51"
"102","db=184ti=7402cl=287"
"103","db=184ti=81952cl=18"
"104","db=184ti=186745cl=12"
"105","db=184ti=9136cl=13"
"106","db=184ti=177776cl=3"
"107","db=184ti=71294cl=0"
"108","db=184ti=4613cl=10"
"109","db=184ti=38585cl=4"
"110","db=184ti=6730cl=41"
"111","9549"
"112","morf_453046_11codonalign.trim_interval.ctx"
"113","db=184ti=31092cl=0"
"114","db=184ti=147367cl=45"
"115","db=184ti=6042cl=63"
"116","db=184ti=150878cl=0"
"117","db=184ti=119670cl=4"
"118","db=184ti=186629cl=71"
"119","db=184ti=117867cl=2"
"120","db=184ti=38609cl=12"
"121","db=184ti=211200cl=0"
"122","db=184ti=63710cl=2"
"123","morf_454264_11codonalign.trim_interval.ctx"
"124","db=184ti=3700cl=7"
"125","db=184ti=164860cl=173"
"126","knownGene.uc001wra.1.1.inc"
"127","db=184ti=229894cl=0"
"128","db=184ti=141941cl=0"
"129","db=184ti=337664cl=27"
"130","db=184ti=43835cl=4"
"131","db=184ti=163091cl=22"
"132","db=184ti=41073cl=49"
"133","db=184ti=217046cl=11"
"134","db=184ti=6905cl=293"
"135","db=184ti=27577cl=18"
"136","db=184ti=73930cl=0"
"137","db=184ti=7995cl=46"
"138","db=184ti=41944cl=940"
"139","knownGene.uc010acc.1.1.inc"
"140","db=184ti=34725cl=394"
"141","db=184ti=6231cl=1294"
"142","db=184ti=8431cl=9"
"143","db=184ti=241818cl=1"
"144","db=184ti=6970cl=47"
"145","morf_454337_11codonalign.trim_interval.ctx"
"146","db=184ti=35590cl=0"
"147","knownGene.uc010lkl.2.1"
"148","my_ENSGALG00000003907.macse_DNA_gb"
"149","db=184ti=723890cl=7"
"150","db=184ti=289413cl=2"
"151","db=184ti=6682cl=43"
"152","db=184ti=23199cl=4"
"153","db=184ti=4033cl=0"
"154","db=184ti=8382cl=13"
"155","db=184ti=252401cl=1"
"156","db=184ti=5819cl=4"
"157","db=184ti=318559cl=17"
"158","db=184ti=693760cl=10"
"159","db=184ti=95189cl=0"
"160","db=184ti=9154cl=0"
"161","db=184ti=106218cl=9"
"162","db=184ti=27841cl=11"
"163","db=184ti=324786cl=0"
"164","db=184ti=8728cl=20"
"165","db=184ti=236645cl=3"
"166","db=184ti=63710cl=156"
"167","db=184ti=37860cl=0"
"168","db=184ti=4783cl=19"
"169","db=184ti=38871cl=1"
"170","db=184ti=7020cl=1"
"171","db=184ti=218531cl=0"
"172","db=184ti=111663cl=5"
"173","db=184ti=37989cl=42"
"174","db=184ti=32162cl=5"
"175","db=184ti=9397cl=92"
"176","db=184ti=355688cl=499"
"177","db=184ti=34989cl=752"
"178","db=184ti=6193cl=71"
"179","db=184ti=171631cl=16"
"180","db=184ti=33214cl=878"
"181","db=184ti=319060cl=15"
"182","db=184ti=146277cl=1"
"183","db=184ti=9397cl=58"
"184","knownGene.uc009vod.1.1.inc"
"185","db=184ti=80764cl=15"
"186","knownGene.uc009vsn.1.1.inc"
"187","db=184ti=4335cl=6"
"188","db=184ti=51763cl=10"
"189","db=184ti=37314cl=2"
"190","db=184ti=264006cl=0"
"191","db=184ti=104781cl=13"
"192","db=184ti=6685cl=5"
"193","db=184ti=425403cl=1"
"194","db=184ti=44534cl=8"
"195","db=184ti=43278cl=1"
"196","db=184ti=132199cl=0"
"197","db=184ti=525156cl=10"
"198","my_ENSGALG00000013227.macse_DNA_gb"
"199","db=184ti=175121cl=96"
"200","db=184ti=9655cl=1"
"201","db=184ti=4883cl=2"
"202","db=184ti=71239cl=27"
"203","db=184ti=117895cl=6"
"204","db=184ti=3744cl=1180"
"205","db=184ti=40829cl=39"
"206","db=184ti=886585cl=2"
"207","db=184ti=46874cl=1"
"208","db=184ti=3646cl=39"
"209","refGene.NM_024574.1"
"210","db=184ti=72772cl=7"
"211","db=184ti=6342cl=17"
"212","db=184ti=13524cl=11"
"213","refGene.NM_032302.1.inc"
"214","db=184ti=4119cl=19"
"215","db=184ti=31092cl=3"
"216","db=184ti=72419cl=3"
"217","db=184ti=143999cl=4"
"218","db=184ti=189479cl=7"
