"","x"
"1","db=184ti=150273cl=3"
"2","db=184ti=156310cl=1"
"3","db=184ti=166331cl=10"
"4","db=184ti=173455cl=3"
"5","db=184ti=189314cl=0"
"6","db=184ti=27450cl=24"
"7","db=184ti=2825cl=13"
"8","db=184ti=286472cl=3"
"9","db=184ti=32281cl=39"
"10","db=184ti=37990cl=10"
"11","db=184ti=41087cl=17"
"12","db=184ti=43741cl=10"
"13","db=184ti=43845cl=44"
"14","db=184ti=4892cl=84"
"15","db=184ti=57515cl=4"
"16","db=184ti=686581cl=0"
"17","db=184ti=70988cl=4"
"18","db=184ti=71195cl=3"
"19","db=184ti=92558cl=10"
"20","db=184ti=92581cl=1"
