"","x"
"1","8519"
"2","db=184ti=105390cl=1"
"3","db=184ti=107755cl=0"
"4","db=184ti=116561cl=2"
"5","db=184ti=13802cl=1"
"6","db=184ti=144516cl=5"
"7","db=184ti=193545cl=0"
"8","db=184ti=216305cl=101"
"9","db=184ti=216305cl=35"
"10","db=184ti=216307cl=101"
"11","db=184ti=222544cl=19"
"12","db=184ti=222545cl=10"
"13","db=184ti=226742cl=8"
"14","db=184ti=272201cl=127"
"15","db=184ti=27439cl=33"
"16","db=184ti=27450cl=24"
"17","db=184ti=31012cl=1"
"18","db=184ti=32128cl=17"
"19","db=184ti=3242cl=3"
"20","db=184ti=33283cl=18"
"21","db=184ti=33361cl=6"
"22","db=184ti=337677cl=114"
"23","db=184ti=34725cl=440"
"24","db=184ti=35568cl=595"
"25","db=184ti=37581cl=2"
"26","db=184ti=379584cl=6"
"27","db=184ti=37990cl=10"
"28","db=184ti=39475cl=5"
"29","db=184ti=41071cl=55"
"30","db=184ti=41945cl=67"
"31","db=184ti=42290cl=0"
"32","db=184ti=43741cl=10"
"33","db=184ti=4381cl=15"
"34","db=184ti=4618cl=6"
"35","db=184ti=46569cl=3"
"36","db=184ti=46879cl=8"
"37","db=184ti=4892cl=84"
"38","db=184ti=50672cl=18"
"39","db=184ti=54970cl=27"
"40","db=184ti=569629cl=1"
"41","db=184ti=569643cl=4"
"42","db=184ti=6340cl=0"
"43","db=184ti=6665cl=2"
"44","db=184ti=6712cl=25"
"45","db=184ti=7042cl=142"
"46","db=184ti=7149cl=17"
"47","db=184ti=71526cl=53"
"48","db=184ti=71527cl=0"
"49","db=184ti=71528cl=32"
"50","db=184ti=7422cl=127"
"51","db=184ti=8219cl=6"
"52","db=184ti=8220cl=6"
"53","db=184ti=82593cl=8"
"54","db=184ti=8417cl=0"
"55","db=184ti=92558cl=10"
"56","db=184ti=96728cl=5"
"57","Polycentropus"
