"","x"
"1","db=184ti=503144cl=5"
"2","Platypalpus"
"3","db=184ti=16360cl=370"
"4","db=184ti=235880cl=66"
"5","refGene.NM_016591.1.inc"
"6","db=184ti=7953cl=178"
"7","db=184ti=158332cl=336"
"8","db=184ti=155890cl=8"
"9","ensGene.ENST00000431623.1.inc"
"10","db=184ti=7952cl=13"
"11","db=184ti=16736cl=204"
"12","db=184ti=287187cl=36"
"13","db=184ti=396426cl=3"
"14","db=184ti=30190cl=7"
"15","db=184ti=7586cl=3"
"16","db=184ti=6470cl=1"
"17","chrz_3271"
"18","my_ENSGALG00000017289.macse_DNA_gb"
"19","db=184ti=21634cl=28"
"20","db=184ti=3041cl=1127"
"21","db=184ti=30001cl=4"
"22","db=184ti=169617cl=11"
"23","chr4_11166"
"24","chr6_9746"
"25","db=184ti=75190cl=18"
"26","12884"
"27","db=184ti=85163cl=0"
"28","db=184ti=51590cl=8"
"29","knownGene.uc010odd.1.1"
"30","db=184ti=42759cl=2"
"31","Pseudochaeta"
"32","morf_448629_11codonalign.trim_interval.ctx"
"33","db=184ti=15492cl=10"
"34","db=184ti=4050cl=0"
"35","db=184ti=28021cl=0"
"36","db=184ti=7456cl=0"
"37","ensGene.ENST00000372775.1.inc"
"38","db=184ti=214907cl=15"
"39","db=184ti=13802cl=2"
"40","Cerodirphia"
"41","db=184ti=6993cl=337"
"42","db=184ti=3928cl=0"
"43","db=184ti=219102cl=75"
"44","db=184ti=71239cl=268"
"45","db=184ti=24921cl=55"
"46","db=184ti=158424cl=161"
"47","Chloropteryx"
"48","db=184ti=38605cl=3"
"49","db=184ti=33341cl=832"
"50","Caloptilia"
"51","db=184ti=999631cl=10"
"52","db=184ti=246490cl=2"
"53","db=184ti=43745cl=5"
"54","db=184ti=33198cl=1"
"55","db=184ti=3378cl=3"
"56","db=184ti=34507cl=43"
"57","db=184ti=256835cl=2"
"58","chr2_13034"
"59","db=184ti=186627cl=616"
"60","db=184ti=980085cl=3"
"61","db=184ti=3041cl=868"
"62","db=184ti=27232cl=3"
"63","db=184ti=5009cl=0"
"64","chr2_17639"
"65","db=184ti=6665cl=5"
"66","db=184ti=219102cl=12"
"67","db=184ti=425072cl=0"
"68","4584"
"69","Dolichovespula"
"70","Myscelia"
"71","chr2_17532"
"72","refGene.NM_002479.1.inc"
"73","ensGene.ENST00000380363.1.inc"
"74","db=184ti=133710cl=0"
"75","db=184ti=8107cl=5"
"76","Squamates_ND1"
"77","db=184ti=9479cl=63"
"78","db=184ti=9443cl=72"
"79","db=184ti=134675cl=13"
"80","Fisera"
"81","db=184ti=88945cl=1"
"82","db=184ti=355688cl=842"
"83","db=184ti=5094cl=1"
"84","db=184ti=404260cl=23"
"85","db=184ti=43741cl=179"
"86","db=184ti=7366cl=56"
"87","db=184ti=6731cl=31"
"88","db=184ti=32281cl=16"
"89","15711"
"90","db=184ti=3514cl=18"
"91","db=184ti=745087cl=13"
"92","db=184ti=145629cl=4"
"93","db=184ti=40040cl=6"
"94","db=184ti=119089cl=844"
"95","refGene.NM_176824.1.inc"
"96","chr2_17101"
"97","morf_450557_11codonalign.trim_interval.ctx"
"98","db=184ti=7190cl=48"
"99","db=184ti=102745cl=15"
"100","db=184ti=49674cl=0"
"101","db=184ti=34989cl=20"
"102","db=184ti=53684cl=1"
"103","15712"
"104","Praon"
"105","db=184ti=28568cl=46"
"106","12340"
"107","morf_454275_11codonalign.trim_interval.ctx"
"108","morf_451582_11codonalign.trim_interval.ctx"
