"","x"
"1","0000076ti=147432cl=12db=184"
"2","0000054ti=123201cl=0db=184"
"3","0000068ti=119259cl=5db=184"
"4","0000102ti=203686cl=4db=184"
"5","0000063ti=30095cl=4db=184"
"6","0000082ti=71533cl=6db=184"
"7","0000084ti=3684cl=4db=184"
"8","0000053ti=216718cl=6db=184"
"9","0000058ti=404314cl=7db=184"
"10","0000198ti=6267cl=2db=184"
"11","0000030ti=39616cl=1db=184"
"12","0000085ti=4747cl=16db=184"
"13","Sitona"
"14","0000107ti=13442cl=0db=184"
"15","morf_452726_11codonalign.trim_interval.ctx"
"16","0000033ti=150885cl=6db=184"
"17","0000133ti=115354cl=36db=184"
"18","0000068ti=143999cl=1db=184"
"19","0000117ti=28376cl=2db=184"
"20","0000086ti=33347cl=3db=184"
"21","0000061ti=147547cl=11db=184"
"22","0000082ti=87270cl=1db=184"
"23","0000063ti=199901cl=2db=184"
"24","0000052ti=166306cl=4db=184"
"25","0000207ti=354340cl=0db=184"
"26","0000037ti=309223cl=3db=184"
"27","0000042ti=83698cl=4db=184"
"28","0000128ti=382879cl=0db=184"
"29","0000053ti=57514cl=4db=184"
"30","0000028ti=82616cl=2db=184"
"31","0000026ti=100303cl=3db=184"
"32","chr1_30414"
"33","0000026ti=41254cl=0db=184"
"34","0000035ti=338152cl=19db=184"
"35","0000138ti=400783cl=15db=184"
"36","0000112ti=50630cl=2db=184"
"37","0000026ti=6946cl=70db=184"
"38","0000165ti=7059cl=19db=184"
"39","Micaria"
"40","0000078ti=7778cl=16db=184"
"41","0000078ti=65182cl=1db=184"
"42","0000082ti=10194cl=1db=184"
"43","0000035ti=3779cl=4db=184"
"44","0000091ti=38127cl=3db=184"
"45","0000218ti=116571cl=2db=184"
"46","0000105ti=50673cl=11db=184"
"47","0000064ti=366451cl=2db=184"
"48","0000110ti=252199cl=1db=184"
"49","0000077ti=7505cl=0db=184"
"50","0000087ti=41503cl=2db=184"
"51","0000070ti=158420cl=3db=184"
"52","0000036ti=58019cl=39db=184"
"53","chr1_32597"
"54","0000091ti=216772cl=10db=184"
"55","0000058ti=319095cl=47db=184"
"56","0000123ti=13442cl=2db=184"
"57","0000039ti=70742cl=0db=184"
"58","chr7_4994"
"59","0000166ti=3745cl=25db=184"
"60","morf_452920_11codonalign.trim_interval.ctx"
"61","0000030ti=28657cl=0db=184"
"62","0000190ti=6127cl=6db=184"
"63","0000034ti=13814cl=5db=184"
"64","chr3_7394"
"65","0000050ti=475176cl=5db=184"
"66","0000109ti=27819cl=4db=184"
"67","0000080ti=60820cl=8db=184"
"68","Holocola"
"69","0000064ti=108385cl=13db=184"
"70","0000109ti=216696cl=10db=184"
"71","18352"
"72","0000087ti=50750cl=3db=184"
"73","0000086ti=190812cl=6db=184"
"74","0000050ti=703530cl=84db=184"
"75","0000050ti=3299cl=3db=184"
"76","0000077ti=323650cl=0db=184"
"77","0000030ti=9608cl=21db=184"
"78","morf_449344_11codonalign.trim_interval.ctx"
"79","0000043ti=344713cl=2db=184"
"80","0000031ti=379584cl=5db=184"
"81","chr2_26954"
"82","0000037ti=379584cl=15db=184"
"83","0000109ti=93873cl=14db=184"
"84","0000148ti=63711cl=43db=184"
"85","0000144ti=13836cl=0db=184"
"86","Micrathetis"
"87","Eudonia"
"88","0000104ti=396426cl=1db=184"
"89","0000147ti=10016cl=0db=184"
"90","0000052ti=38127cl=4db=184"
"91","0000039ti=150885cl=5db=184"
"92","chr5_14720"
"93","0000035ti=51788cl=4db=184"
"94","Natalina"
"95","0000049ti=71294cl=2db=184"
"96","0000042ti=43831cl=5db=184"
"97","0000036ti=30075cl=4db=184"
"98","0000057ti=111198cl=3db=184"
"99","0000148ti=268836cl=2db=184"
"100","0000240ti=7157cl=39db=184"
"101","0000031ti=3249cl=5db=184"
"102","0000025ti=13802cl=3db=184"
"103","0000047ti=163728cl=3db=184"
"104","0000097ti=3764cl=13db=184"
"105","0000043ti=379583cl=30db=184"
"106","0000103ti=274692cl=15db=184"
"107","0000048ti=327891cl=1db=184"
"108","0000026ti=7456cl=0db=184"
"109","Xyleborus"
"110","knownGene.uc003ikl.2.1"
"111","0000084ti=4346cl=10db=184"
"112","0000028ti=8426cl=23db=184"
"113","0000094ti=163734cl=6db=184"
"114","9803"
"115","0000078ti=481632cl=1db=184"
"116","0000162ti=4199cl=37db=184"
"117","9548"
"118","refGene.NM_001136497.1"
"119","0000131ti=706613cl=11db=184"
"120","0000036ti=156330cl=16db=184"
"121","0000150ti=6683cl=4db=184"
"122","0000050ti=81887cl=9db=184"
"123","0000076ti=43750cl=8db=184"
"124","ensGene.ENST00000371228.1.inc"
"125","Capua"
"126","morf_452241_11codonalign.trim_interval.ctx"
"127","0000092ti=60800cl=6db=184"
"128","0000030ti=163722cl=1db=184"
"129","0000125ti=77657cl=5db=184"
"130","0000091ti=4747cl=1db=184"
"131","0000130ti=35094cl=0db=184"
"132","0000182ti=216366cl=4db=184"
