"","x"
"1","knownGene.uc011bkm.1.1.inc"
"2","morf_451560_11codonalign.trim_interval.ctx"
"3","refGene.NM_022466.1"
"4","refGene.NM_005300.1.inc"
"5","0000062ti=167727cl=0db=184"
"6","0000061ti=3043cl=5db=184"
"7","0000050ti=44302cl=1db=184"
"8","0000038ti=28466cl=0db=184"
"9","0000077ti=163090cl=0db=184"
"10","0000083ti=144703cl=0db=184"
"11","morf_452125_11codonalign.trim_interval.ctx"
"12","0000057ti=123352cl=2db=184"
"13","0000057ti=4747cl=17db=184"
"14","0000029ti=13617cl=29db=184"
"15","knownGene.uc002ehe.1.1"
"16","knownGene.uc002jya.3.1"
"17","0000040ti=715360cl=5db=184"
"18","0000052ti=503141cl=3db=184"
"19","0000059ti=158366cl=26db=184"
"20","0000045ti=27875cl=3db=184"
"21","3678"
"22","morf_449938_11codonalign.trim_interval.ctx"
"23","0000026ti=35490cl=0db=184"
"24","0000038ti=83310cl=3db=184"
"25","0000037ti=30871cl=1db=184"
"26","0000031ti=29619cl=2db=184"
"27","morf_450360_11codonalign.trim_interval.ctx"
"28","0000026ti=3242cl=22db=184"
"29","0000042ti=233875cl=9db=184"
"30","13093"
"31","0000104ti=403667cl=23db=184"
"32","0000030ti=6416cl=5db=184"
"33","ensGene.ENST00000442421.1.inc"
"34","morf_453401_11codonalign.trim_interval.ctx"
"35","15590"
"36","0000074ti=424562cl=10db=184"
"37","0000059ti=158331cl=25db=184"
"38","0000083ti=217036cl=0db=184"
"39","0000047ti=36713cl=3db=184"
"40","0000054ti=38608cl=7db=184"
"41","morf_454245_11codonalign.trim_interval.ctx"
"42","0000225ti=81954cl=7db=184"
"43","0000027ti=3367cl=52db=184"
"44","morf_450215_11codonalign.trim_interval.ctx"
"45","0000055ti=4022cl=2db=184"
"46","0000074ti=4085cl=10db=184"
"47","0000178ti=158422cl=0db=184"
"48","0000038ti=66923cl=1db=184"
"49","knownGene.uc003ggx.1.1.inc"
"50","0000130ti=33217cl=13db=184"
"51","0000030ti=40317cl=7db=184"
"52","morf_453051_11codonalign.trim_interval.ctx"
"53","0000087ti=292919cl=18db=184"
"54","morf_448763_11codonalign.trim_interval.ctx"
"55","refGene.NM_032270.1.inc"
"56","morf_452892_11codonalign.trim_interval.ctx"
"57","0000034ti=28577cl=6db=184"
"58","knownGene.uc001gqp.2.1.inc"
"59","morf_449101_11codonalign.trim_interval.ctx"
"60","0000104ti=91834cl=23db=184"
"61","0000031ti=40105cl=0db=184"
"62","0000088ti=3455cl=0db=184"
"63","knownGene.uc001rje.1.1"
"64","morf_453065_11codonalign.trim_interval.ctx"
"65","0000036ti=70910cl=12db=184"
"66","0000068ti=9398cl=7db=184"
"67","morf_453607_11codonalign.trim_interval.ctx"
"68","0000044ti=52836cl=7db=184"
"69","0000049ti=16360cl=23db=184"
"70","0000069ti=38609cl=10db=184"
"71","my_ENSGALG00000008338.macse_DNA_gb"
"72","0000028ti=28842cl=10db=184"
"73","my_ENSGALG00000020605.macse_DNA_gb"
"74","my_ENSGALG00000016996.macse_DNA_gb"
"75","0000069ti=43873cl=0db=184"
"76","0000039ti=8830cl=1db=184"
"77","0000068ti=130486cl=4db=184"
"78","morf_449825_11codonalign.trim_interval.ctx"
"79","0000027ti=376911cl=55db=184"
"80","0000027ti=157608cl=2db=184"
"81","morf_449175_11codonalign.trim_interval.ctx"
"82","refGene.NM_015483.1"
"83","0000041ti=32346cl=32db=184"
"84","0000031ti=88639cl=9db=184"
"85","0000034ti=426101cl=3db=184"
"86","0000051ti=235629cl=5db=184"
"87","morf_450431_11codonalign.trim_interval.ctx"
"88","morf_454010_11codonalign.trim_interval.ctx"
"89","0000051ti=32456cl=9db=184"
"90","0000033ti=3514cl=26db=184"
"91","0000048ti=7081cl=3db=184"
"92","0000025ti=84613cl=0db=184"
"93","0000030ti=56309cl=4db=184"
"94","0000050ti=2874cl=2db=184"
"95","morf_451739_11codonalign.trim_interval.ctx"
"96","0000047ti=299753cl=6db=184"
"97","0000054ti=10232cl=0db=184"
"98","0000034ti=116576cl=3db=184"
"99","morf_450895_11codonalign.trim_interval.ctx"
"100","0000042ti=167487cl=0db=184"
"101","0000034ti=30161cl=2db=184"
"102","refGene.NM_018704.1.inc"
"103","morf_450833_11codonalign.trim_interval.ctx"
"104","0000079ti=29247cl=0db=184"
"105","0000038ti=543769cl=0db=184"
"106","0000058ti=136838cl=3db=184"
"107","knownGene.uc010yvq.1.1"
"108","0000086ti=31002cl=5db=184"
"109","0000049ti=46002cl=0db=184"
"110","0000087ti=176608cl=1db=184"
"111","0000075ti=196566cl=0db=184"
"112","0000071ti=13289cl=2db=184"
"113","0000124ti=8460cl=9db=184"
"114","0000025ti=43753cl=1db=184"
"115","0000082ti=219384cl=11db=184"
"116","morf_448819_11codonalign.trim_interval.ctx"
"117","0000045ti=129371cl=2db=184"
"118","0000026ti=38147cl=3db=184"
"119","my_ENSGALG00000003907.macse_DNA_gb"
"120","0000077ti=46660cl=1db=184"
"121","0000070ti=30761cl=0db=184"
"122","0000075ti=114861cl=1db=184"
"123","morf_450621_11codonalign.trim_interval.ctx"
"124","0000059ti=3146cl=0db=184"
"125","0000043ti=7117cl=0db=184"
"126","0000055ti=703537cl=4db=184"
"127","0000045ti=36287cl=0db=184"
"128","0000028ti=175121cl=17db=184"
"129","0000047ti=158420cl=4db=184"
"130","0000054ti=35567cl=113db=184"
"131","0000038ti=3536cl=37db=184"
"132","2439"
"133","0000030ti=70895cl=4db=184"
"134","0000026ti=656585cl=1db=184"
"135","0000035ti=57894cl=6db=184"
"136","0000128ti=83232cl=0db=184"
"137","morf_451895_11codonalign.trim_interval.ctx"
"138","0000060ti=715363cl=1db=184"
"139","0000052ti=418967cl=3db=184"
"140","0000070ti=160964cl=9db=184"
"141","0000040ti=30725cl=6db=184"
"142","0000050ti=41934cl=1db=184"
"143","0000045ti=484198cl=1db=184"
"144","0000025ti=29617cl=2db=184"
"145","0000054ti=29616cl=4db=184"
"146","0000077ti=33184cl=1db=184"
"147","0000067ti=13699cl=3db=184"
"148","0000070ti=84318cl=0db=184"
"149","0000033ti=8728cl=5db=184"
"150","0000031ti=369855cl=1db=184"
"151","0000057ti=158349cl=2db=184"
"152","0000069ti=3318cl=82db=184"
"153","morf_450241_11codonalign.trim_interval.ctx"
"154","morf_451215_11codonalign.trim_interval.ctx"
"155","refGene.NM_178445.1.inc"
"156","morf_453400_11codonalign.trim_interval.ctx"
"157","refGene.NM_152570.1"
"158","refGene.NM_001008489.1.inc"
"159","0000030ti=36287cl=4db=184"
"160","morf_450726_11codonalign.trim_interval.ctx"
"161","0000043ti=721787cl=21db=184"
"162","morf_454573_11codonalign.trim_interval.ctx"
"163","0000057ti=8570cl=78db=184"
"164","0000027ti=219128cl=17db=184"
"165","morf_449431_11codonalign.trim_interval.ctx"
"166","0000185ti=33554cl=24db=184"
"167","0000069ti=69468cl=0db=184"
"168","0000026ti=35063cl=1db=184"
"169","refGene.NM_033128.1.inc"
"170","0000112ti=3244cl=3db=184"
"171","0000055ti=34481cl=0db=184"
"172","morf_454186_11codonalign.trim_interval.ctx"
"173","refGene.NM_018328.1.inc"
"174","0000069ti=172634cl=3db=184"
"175","vegaGene.OTTHUMT00000371301.1.inc"
"176","0000026ti=192514cl=5db=184"
"177","0000040ti=4036cl=7db=184"
"178","0000076ti=254526cl=0db=184"
"179","0000085ti=4747cl=12db=184"
"180","morf_451103_11codonalign.trim_interval.ctx"
"181","morf_450389_11codonalign.trim_interval.ctx"
"182","0000096ti=8247cl=7db=184"
"183","0000036ti=16727cl=1db=184"
"184","0000118ti=158366cl=11db=184"
"185","morf_450905_11codonalign.trim_interval.ctx"
"186","0000065ti=47021cl=1db=184"
"187","0000163ti=3867cl=0db=184"
"188","0000067ti=147432cl=17db=184"
"189","0000044ti=13836cl=1db=184"
"190","0000029ti=9434cl=1db=184"
"191","0000086ti=4857cl=7db=184"
"192","0000037ti=3245cl=26db=184"
"193","refGene.NM_002427.1"
"194","0000041ti=613037cl=0db=184"
"195","knownGene.uc001ufh.2.1.inc"
"196","morf_451767_11codonalign.trim_interval.ctx"
"197","0000031ti=93225cl=5db=184"
"198","0000055ti=303184cl=2db=184"
"199","0000208ti=33554cl=0db=184"
"200","morf_451822_11codonalign.trim_interval.ctx"
"201","refGene.NM_001130173.1"
"202","0000134ti=62838cl=1db=184"
"203","0000029ti=34989cl=14db=184"
"204","0000028ti=29616cl=2db=184"
"205","0000056ti=7438cl=1db=184"
"206","0000070ti=5790cl=0db=184"
"207","0000132ti=2803cl=3db=184"
"208","0000036ti=3312cl=15db=184"
"209","0000047ti=16736cl=5db=184"
"210","0000104ti=3602cl=23db=184"
"211","0000045ti=270602cl=4db=184"
"212","0000025ti=31430cl=0db=184"
"213","0000071ti=27420cl=0db=184"
"214","0000048ti=32341cl=20db=184"
"215","0000037ti=9681cl=37db=184"
"216","0000035ti=84337cl=9db=184"
"217","morf_448954_11codonalign.trim_interval.ctx"
"218","0000072ti=56757cl=1db=184"
"219","0000029ti=43742cl=89db=184"
"220","0000066ti=33372cl=4db=184"
"221","0000047ti=379500cl=5db=184"
"222","refGene.NM_001097600.1"
"223","knownGene.uc001oxo.1.1.inc"
"224","0000031ti=163743cl=0db=184"
"225","0000059ti=58019cl=12db=184"
"226","knownGene.uc002tyg.3.1"
"227","0000034ti=94682cl=8db=184"
"228","0000038ti=110618cl=46db=184"
"229","0000081ti=13578cl=8db=184"
"230","knownGene.uc001tsg.2.1.inc"
"231","morf_453391_11codonalign.trim_interval.ctx"
"232","morf_448638_11codonalign.trim_interval.ctx"
"233","0000043ti=447236cl=2db=184"
"234","0000035ti=96235cl=4db=184"
"235","0000211ti=235633cl=1db=184"
"236","0000062ti=158351cl=4db=184"
"237","0000036ti=3313cl=15db=184"
"238","0000041ti=121178cl=6db=184"
"239","0000040ti=300250cl=2db=184"
"240","refGene.NM_152268.1.inc"
"241","0000056ti=3929cl=1db=184"
"242","morf_449028_11codonalign.trim_interval.ctx"
"243","morf_449659_11codonalign.trim_interval.ctx"
"244","0000037ti=40238cl=0db=184"
"245","knownGene.uc001tlg.1.1"
"246","0000112ti=30319cl=20db=184"
"247","0000094ti=3754cl=38db=184"
"248","morf_451519_11codonalign.trim_interval.ctx"
"249","refGene.NM_014879.1.inc"
"250","0000039ti=232347cl=115db=184"
"251","0000063ti=216810cl=0db=184"
"252","morf_451219_11codonalign.trim_interval.ctx"
"253","0000026ti=3977cl=12db=184"
"254","0000045ti=116893cl=1db=184"
"255","morf_450578_11codonalign.trim_interval.ctx"
"256","0000033ti=3090cl=0db=184"
"257","0000078ti=693763cl=0db=184"
"258","refGene.NM_000536.1"
"259","0000027ti=33366cl=4db=184"
"260","0000032ti=715360cl=1db=184"
"261","0000057ti=121408cl=33db=184"
"262","knownGene.uc010qql.1.1"
"263","0000073ti=227334cl=0db=184"
"264","0000061ti=47718cl=3db=184"
"265","morf_451019_11codonalign.trim_interval.ctx"
"266","0000034ti=4144cl=42db=184"
"267","0000096ti=3487cl=1db=184"
"268","morf_451383_11codonalign.trim_interval.ctx"
"269","0000161ti=114657cl=3db=184"
"270","0000075ti=9265cl=3db=184"
"271","morf_452264_11codonalign.trim_interval.ctx"
"272","morf_449393_11codonalign.trim_interval.ctx"
"273","0000072ti=165824cl=0db=184"
"274","0000104ti=30352cl=10db=184"
"275","0000027ti=9443cl=55db=184"
"276","0000057ti=40029cl=32db=184"
"277","0000101ti=4328cl=3db=184"
"278","knownGene.uc001uop.1.1.inc"
"279","0000033ti=35435cl=0db=184"
"280","0000091ti=228648cl=0db=184"
"281","0000027ti=93879cl=12db=184"
"282","knownGene.uc001ttr.1.1.inc"
"283","0000031ti=5345cl=0db=184"
"284","0000035ti=81835cl=3db=184"
"285","0000037ti=319042cl=5db=184"
"286","0000086ti=65186cl=2db=184"
"287","morf_454275_11codonalign.trim_interval.ctx"
"288","0000027ti=5782cl=10db=184"
"289","refGene.NM_178129.1.inc"
"290","0000042ti=33351cl=6db=184"
"291","refGene.NM_001164722.1.inc"
"292","0000028ti=45124cl=0db=184"
"293","0000033ti=43749cl=32db=184"
"294","morf_454207_11codonalign.trim_interval.ctx"
"295","my_ENSGALG00000005670.macse_DNA_gb"
"296","0000059ti=30727cl=98db=184"
"297","knownGene.uc001hmd.2.1.inc"
"298","0000135ti=8382cl=3db=184"
"299","0000096ti=4196cl=1db=184"
"300","0000048ti=384324cl=14db=184"
"301","0000053ti=30761cl=17db=184"
"302","morf_449553_11codonalign.trim_interval.ctx"
"303","0000055ti=28741cl=3db=184"
"304","refGene.NM_018095.1"
"305","0000059ti=27925cl=2db=184"
"306","morf_451258_11codonalign.trim_interval.ctx"
"307","my_ENSGALG00000016357.macse_DNA_gb"
"308","0000025ti=145667cl=0db=184"
"309","0000069ti=30828cl=3db=184"
"310","my_ENSGALG00000005309.macse_DNA_gb"
"311","my_ENSGALG00000011323.macse_DNA_gb"
"312","0000032ti=6608cl=1db=184"
"313","0000031ti=177828cl=7db=184"
"314","0000042ti=131220cl=15db=184"
"315","0000038ti=169067cl=0db=184"
"316","0000025ti=9307cl=10db=184"
"317","0000078ti=452225cl=2db=184"
"318","0000184ti=56246cl=3db=184"
"319","0000057ti=4618cl=10db=184"
"320","morf_453949_11codonalign.trim_interval.ctx"
"321","0000034ti=652551cl=0db=184"
"322","morf_452295_11codonalign.trim_interval.ctx"
"323","0000049ti=229894cl=0db=184"
"324","my_ENSGALG00000001529.macse_DNA_gb"
"325","0000068ti=38135cl=6db=184"
"326","0000057ti=154680cl=5db=184"
"327","0000033ti=117895cl=95db=184"
"328","knownGene.uc011kgy.1.1"
"329","0000040ti=9527cl=47db=184"
"330","0000049ti=30761cl=16db=184"
"331","0000067ti=75968cl=7db=184"
"332","0000036ti=176448cl=8db=184"
"333","0000122ti=162480cl=2db=184"
"334","morf_453912_11codonalign.trim_interval.ctx"
"335","0000038ti=119950cl=0db=184"
"336","0000031ti=9263cl=39db=184"
"337","0000026ti=376913cl=82db=184"
"338","9549"
"339","0000045ti=4036cl=5db=184"
"340","0000066ti=6470cl=2db=184"
"341","morf_454337_11codonalign.trim_interval.ctx"
"342","knownGene.uc010lzq.2.1"
"343","refGene.NM_016591.1.inc"
"344","knownGene.uc010xrn.1.1.inc"
"345","0000028ti=36298cl=7db=184"
"346","0000106ti=6833cl=3db=184"
"347","0000032ti=147376cl=19db=184"
"348","ensGene.ENST00000456606.1.inc"
"349","morf_450370_11codonalign.trim_interval.ctx"
"350","0000108ti=91896cl=0db=184"
"351","0000073ti=78750cl=0db=184"
"352","0000027ti=43753cl=2db=184"
"353","0000036ti=58019cl=15db=184"
"354","0000133ti=3219cl=10db=184"
"355","0000063ti=34353cl=0db=184"
"356","knownGene.uc010ddd.2.1.inc"
"357","0000044ti=13837cl=1db=184"
"358","0000034ti=374051cl=16db=184"
"359","0000046ti=303185cl=35db=184"
"360","0000034ti=41097cl=0db=184"
"361","refGene.NM_000079.1.inc"
"362","0000095ti=3103cl=1db=184"
"363","0000088ti=4028cl=6db=184"
"364","0000055ti=4130cl=1db=184"
"365","morf_449376_11codonalign.trim_interval.ctx"
"366","knownGene.uc009vod.1.1.inc"
"367","0000065ti=189479cl=1db=184"
"368","morf_453608_11codonalign.trim_interval.ctx"
"369","0000036ti=48438cl=1db=184"
"370","0000025ti=30725cl=3db=184"
"371","0000075ti=40138cl=10db=184"
"372","0000030ti=41955cl=30db=184"
"373","refGene.NM_001161781.1"
"374","0000034ti=23097cl=0db=184"
"375","0000052ti=176448cl=0db=184"
"376","knownGene.uc003qwg.1.1.inc"
"377","0000069ti=167503cl=7db=184"
"378","0000028ti=29616cl=0db=184"
"379","0000074ti=3249cl=4db=184"
"380","0000044ti=9443cl=64db=184"
"381","0000086ti=81093cl=16db=184"
"382","refGene.NM_002242.1.inc"
"383","0000103ti=219129cl=0db=184"
"384","refGene.NM_001143957.1"
"385","morf_452361_11codonalign.trim_interval.ctx"
"386","refGene.NM_145196.1"
"387","0000026ti=10161cl=1db=184"
"388","0000036ti=163722cl=2db=184"
"389","knownGene.uc011kmi.1.1"
"390","0000044ti=34481cl=6db=184"
"391","0000034ti=3204cl=1db=184"
"392","0000069ti=196567cl=0db=184"
"393","0000055ti=5368cl=6db=184"
"394","0000090ti=4667cl=22db=184"
"395","morf_453529_11codonalign.trim_interval.ctx"
"396","0000030ti=84328cl=0db=184"
"397","knownGene.uc010fbw.2.1"
"398","morf_453893_11codonalign.trim_interval.ctx"
"399","morf_451892_11codonalign.trim_interval.ctx"
"400","refGene.NM_003956.1.inc"
"401","0000077ti=254526cl=4db=184"
"402","0000027ti=56271cl=4db=184"
"403","0000030ti=8293cl=7db=184"
"404","0000042ti=91800cl=2db=184"
"405","0000052ti=31006cl=3db=184"
"406","0000072ti=41943cl=1db=184"
"407","0000045ti=6671cl=0db=184"
"408","0000053ti=23159cl=7db=184"
"409","0000041ti=6562cl=2db=184"
"410","my_ENSGALG00000000041.macse_DNA_gb"
"411","0000065ti=16736cl=2db=184"
"412","0000032ti=182511cl=3db=184"
"413","morf_454518_11codonalign.trim_interval.ctx"
"414","0000037ti=3244cl=26db=184"
"415","refGene.NM_002236.1.inc"
"416","0000101ti=507700cl=1db=184"
"417","0000038ti=140315cl=1db=184"
"418","0000042ti=31092cl=3db=184"
"419","0000047ti=40100cl=3db=184"
"420","0000038ti=162482cl=0db=184"
"421","ensGene.ENST00000445686.1.inc"
"422","0000080ti=66803cl=2db=184"
"423","0000083ti=235633cl=7db=184"
"424","refGene.NM_000863.1.inc"
"425","0000067ti=8399cl=1db=184"
"426","0000066ti=13806cl=0db=184"
"427","0000050ti=39588cl=1db=184"
"428","4584"
"429","knownGene.uc004akt.2.1"
"430","refGene.NM_032806.1.inc"
"431","refGene.NM_004101.1.inc"
"432","0000067ti=65495cl=1db=184"
"433","0000129ti=423302cl=0db=184"
"434","refGene.NM_002563.1.inc"
"435","0000025ti=169660cl=1db=184"
"436","0000033ti=52314cl=0db=184"
"437","0000034ti=210284cl=3db=184"
"438","0000032ti=9108cl=1db=184"
"439","morf_451328_11codonalign.trim_interval.ctx"
"440","0000026ti=452284cl=4db=184"
"441","0000032ti=34374cl=11db=184"
"442","0000033ti=119272cl=1db=184"
"443","0000036ti=43750cl=30db=184"
"444","0000025ti=30725cl=5db=184"
"445","0000062ti=45109cl=0db=184"
"446","0000029ti=55199cl=3db=184"
"447","0000086ti=31441cl=0db=184"
"448","0000027ti=376913cl=592db=184"
"449","0000052ti=189319cl=1db=184"
"450","0000092ti=8352cl=21db=184"
"451","0000028ti=41087cl=3db=184"
"452","0000046ti=51590cl=3db=184"
"453","0000046ti=177776cl=3db=184"
"454","refGene.NM_033397.1"
"455","0000052ti=129914cl=0db=184"
"456","0000060ti=3573cl=28db=184"
"457","morf_452229_11codonalign.trim_interval.ctx"
"458","0000038ti=5126cl=48db=184"
"459","0000027ti=102804cl=779db=184"
"460","0000050ti=5115cl=4db=184"
"461","refGene.NM_002266.1"
"462","0000051ti=435434cl=2db=184"
"463","0000056ti=12947cl=2db=184"
"464","0000042ti=703534cl=4db=184"
"465","0000197ti=71241cl=33db=184"
"466","morf_448928_11codonalign.trim_interval.ctx"
"467","refGene.NM_024607.1.inc"
"468","0000103ti=50362cl=0db=184"
"469","knownGene.uc001vkg.1.1.inc"
"470","0000086ti=261460cl=0db=184"
"471","0000055ti=325284cl=3db=184"
"472","0000120ti=196951cl=0db=184"
"473","morf_453500_11codonalign.trim_interval.ctx"
"474","0000176ti=158350cl=7db=184"
"475","morf_453982_11codonalign.trim_interval.ctx"
"476","0000094ti=721787cl=17db=184"
"477","0000082ti=8515cl=19db=184"
"478","refGene.NM_022567.1.inc"
"479","morf_451877_11codonalign.trim_interval.ctx"
"480","0000073ti=57379cl=0db=184"
"481","refGene.NM_000909.1"
"482","0000079ti=299749cl=6db=184"
"483","0000080ti=5747cl=0db=184"
"484","0000046ti=235880cl=6db=184"
"485","morf_451393_11codonalign.trim_interval.ctx"
"486","0000041ti=32346cl=19db=184"
"487","0000048ti=43271cl=13db=184"
"488","morf_452926_11codonalign.trim_interval.ctx"
"489","morf_452383_11codonalign.trim_interval.ctx"
"490","0000033ti=88474cl=1db=184"
"491","0000055ti=200604cl=1db=184"
"492","refGene.NM_014181.1.inc"
"493","0000039ti=126287cl=32db=184"
"494","0000029ti=452284cl=11db=184"
"495","my_ENSGALG00000010641.macse_DNA_gb"
"496","0000038ti=123354cl=0db=184"
