"","x"
"1","db=184ti=30001cl=2"
"2","db=184ti=30009cl=2"
"3","db=184ti=30073cl=0"
"4","db=184ti=30073cl=2"
"5","db=184ti=30083cl=44"
"6","db=184ti=30086cl=3"
"7","db=184ti=30095cl=10"
"8","db=184ti=30095cl=7"
"9","db=184ti=30102cl=9"
"10","db=184ti=30259cl=6"
"11","db=184ti=30263cl=4"
"12","db=184ti=30352cl=4"
"13","db=184ti=30367cl=199"
"14","8519"
"15","db=184ti=3041cl=1419"
"16","db=184ti=30449cl=3"
"17","db=184ti=30458cl=21"
"18","db=184ti=30559cl=79"
"19","db=184ti=30560cl=25"
"20","db=184ti=30862cl=8"
"21","db=184ti=30871cl=1"
"22","db=184ti=30871cl=9"
"23","db=184ti=309223cl=2"
"24","db=184ti=31012cl=1"
"25","db=184ti=3114cl=1"
"26","db=184ti=31277cl=5"
"27","db=184ti=31319cl=5"
"28","db=184ti=314293cl=152"
"29","db=184ti=314294cl=9"
"30","db=184ti=319056cl=22"
"31","db=184ti=3199cl=9"
"32","db=184ti=3204cl=17"
"33","db=184ti=3204cl=30"
"34","db=184ti=3208cl=146"
"35","db=184ti=3208cl=231"
"36","db=184ti=32123cl=0"
"37","9831"
"38","db=184ti=32128cl=17"
"39","db=184ti=3214cl=106"
"40","db=184ti=3214cl=107"
"41","db=184ti=32281cl=10"
"42","db=184ti=32281cl=2"
"43","db=184ti=32281cl=39"
"44","Acalles"
"45","db=184ti=32281cl=9"
"46","db=184ti=32341cl=30"
"47","db=184ti=32417cl=0"
"48","db=184ti=3242cl=3"
"49","db=184ti=32521cl=140"
"50","db=184ti=3287cl=5"
"51","db=184ti=33217cl=167"
"52","db=184ti=33217cl=2587"
"53","db=184ti=33253cl=42"
"54","db=184ti=33283cl=18"
"55","db=184ti=33284cl=18"
"56","db=184ti=33339cl=23"
"57","db=184ti=33341cl=863"
"58","db=184ti=33349cl=3"
"59","db=184ti=33350cl=2"
"60","db=184ti=33351cl=197"
"61","db=184ti=33355cl=38"
"62","db=184ti=33356cl=3"
"63","db=184ti=33357cl=25"
"64","db=184ti=33358cl=12"
"65","db=184ti=33361cl=6"
"66","db=184ti=33365cl=4"
"67","db=184ti=33365cl=55"
"68","db=184ti=33365cl=60"
"69","db=184ti=33368cl=13"
"70","db=184ti=33368cl=7"
"71","db=184ti=33373cl=0"
"72","db=184ti=33381cl=21"
"73","db=184ti=33385cl=3"
"74","db=184ti=33389cl=2"
"75","db=184ti=33406cl=9"
"76","db=184ti=33415cl=18"
"77","db=184ti=33415cl=21"
"78","db=184ti=33415cl=3"
"79","db=184ti=33415cl=5"
"80","db=184ti=33554cl=0"
"81","db=184ti=33630cl=0"
"82","db=184ti=33630cl=2450"
"83","db=184ti=33682cl=361"
"84","db=184ti=337677cl=114"
"85","db=184ti=337687cl=25"
"86","db=184ti=337687cl=3"
"87","db=184ti=337687cl=62"
"88","db=184ti=33822cl=1"
"89","db=184ti=33823cl=1"
"90","db=184ti=33853cl=2"
"91","db=184ti=33854cl=2"
"92","db=184ti=3432cl=9"
"93","db=184ti=34451cl=6"
"94","Antiblemma"
"95","db=184ti=34542cl=4"
"96","db=184ti=34695cl=2"
